no,word-talgalog,word meaning-english,scentence-tagalog,scentence-korean
1,ng,a non-focus marker; of; by,Ang kulay ng rosas ay pula.,장미의 색깔은 빨간색이다.
2,sa,in; on; at; to,Nakatira siya sa Maynila.,그는 마닐라에 산다.
3,na,already; now; just,Kumain na ako.,나는 이미 먹었다.
4,ang,the; a focus marker,Ang aso ay tumatakbo.,개가 뛰고 있다.
5,mga,plural marker,Mga bata ay naglalaro.,아이들이 놀고 있다.
6,ay,is; are; am (copula),Ako ay guro.,나는 선생님이다.
7,at,and,Kumain kami ng tinapay at inumin.,우리는 빵과 음료를 먹었다.
8,Ang,the; a focus marker (capitalized),Ang Pilipinas ay maganda.,필리핀은 아름답다.
9,isang,a; an; one,May isang ibon sa hardin.,정원에 새 한 마리가 있다.
10,ito,this,Ito ay aking kwaderno.,이것은 나의 공책이다.
11,noong,when; in the past,"Noong bata ako, mahilig akong maglaro.","내가 어렸을 때, 놀기를 좋아했다."
12,ni,of; by (for proper names),Ang bahay ni Maria ay malaki.,마리아의 집은 크다.
13,si,a focus marker for proper names,Si John ay papasok.,존이 들어온다.
14,o,or,Kape o tsaa?,커피 또는 차?
15,bilang,as; in the capacity of,Siya ay gumanap bilang guro.,그는 선생님 역할을 했다.
16,may,there is; there are; has/have,May pera sa bulsa.,주머니에 돈이 있다.
17,kanyang,his; her; its,Kanyang bag ay kulay itim.,그녀의 가방은 검은색이다.
18,hindi,no; not,Hindi ako pagod.,나는 피곤하지 않다.
19,Sa,in; on; at; to (capitalized),Sa umaga kami aalis.,우리는 아침에 떠난다.
20,siya,he; she,Siya ay aking kaibigan.,그는 나의 친구이다.
21,para,for; to; in order to,Para sa iyo ito.,이것은 너를 위한 것이다.
22,mula,from; since,Mula sa paaralan kami.,우리는 학교에서 왔다.
23,upang,in order to; so that,"Upang matuto, kailangan mag-aral.",배우기 위해서는 공부해야 한다.
24,nito,of this; by this,Ang kulay nito ay pula.,이것의 색깔은 빨간색이다.
25,kung,if; when,"Kung may oras ka, puntahan mo ako.","시간이 있다면, 나를 방문해라."
26,Noong,when; in the past (capitalized),Noong Lunes kami nagkita.,우리는 월요일에 만났다.
27,niya,he; she (non-focus),Gusto niya ng kendi.,그는 사탕을 좋아한다.
28,Ito,this (capitalized),Ito ang gusto ko.,이것이 내가 원하는 것이다.
29,kanilang,their,Kanilang bahay ay bago.,그들의 집은 새 것이다.
30,din,also; too,Gusto ko din ng kape.,나도 커피를 좋아한다.
31,rin,also; too,Ako rin ay sasama.,나도 같이 갈 것이다.
32,Si,a focus marker for proper names (capitalized),Si Anna ay maganda.,앤나는 아름답다.
33,nang,when; while; in order to,Tumakbo siya nang mabilis.,그는 빨리 달렸다.
34,unang,first,Ang unang araw ng linggo.,주의 첫째 날이다.
35,naging,became; was,Naging guro siya.,그는 선생님이 되었다.
36,isa,one,"Isa, dalawa, tatlo.","하나, 둘, 셋."
37,ibang,other; different,Ibang tao siya ngayon.,그는 지금 다른 사람이 되었다.
38,dahil,because of; due to,"Dahil sa ulan, hindi kami nakalabas.","비 때문에, 우리는 나가지 못했다."
39,lamang,only; just,Lamang isang minuto.,단지 1분이다.
40,pang,for; a prefix for ordinal numbers,Pang-limang beses ko na itong ginawa.,이것은 내가 다섯 번째로 하는 일이다.
41,tao,person; people,Maraming tao sa palengke.,시장에는 많은 사람들이 있다.
42,hanggang,until; up to,Hanggang sa muli.,다음에 또 만나자.
43,pa,still; yet,Hindi pa siya dumadating.,그는 아직 도착하지 않았다.
44,mas,more,Mas mabilis siya sa akin.,그는 나보다 더 빠르다.
45,ilang,some; a few,Ilang sandali lang.,잠시만.
46,bahagi,part; portion,Ang bahagi ng kwento.,이야기의 일부분.
47,pamamagitan,through; by means of,"Sa pamamagitan ng sipag, nagtagumpay siya.",노력을 통해 그는 성공했다.
48,kay,to; for (proper names),Ang regalo ay kay Carlo.,선물은 카를로를 위한 것이다.
49,maaaring,can; may be possible,Maaaring umulan bukas.,내일 비가 올 수도 있다.
50,of,of,Ang bahagi ng libro.,책의 일부분.
51,taon,year,Limang taon na siya dito.,그는 여기에 5년째 있다.
52,ngunit,but,"Gusto ko siya, ngunit may asawa na siya.","나는 그녀를 좋아하지만, 그녀는 이미 결혼했다."
53,dalawang,two,Dalawang bata ang naglaro.,두 아이가 놀았다.
54,iba,other; different,Iba ang gusto niya.,그는 다른 것을 원한다.
55,saan,where,Saan ka pupunta?,너는 어디에 갈 거니?
56,maraming,many,Maraming tao ang dumalo.,많은 사람들이 참석했다.
57,bansa,country,Ang bansang Pilipinas.,필리핀 나라.
58,nasa,is in; is at,Nasa bahay ang bata.,아이가 집에 있다.
59,Pilipinas,Philippines,Ang ganda ng Pilipinas!,필리핀은 아름답다!
60,panahon,time; weather,Maganda ang panahon ngayon.,오늘 날씨가 좋다.
61,sila,they,Sila ay nag-aaral.,그들은 공부하고 있다.
62,taong,person; year,Isang taong masipag.,부지런한 사람.
63,itong,this (contracted),Itong regalo ay para sa iyo.,이 선물은 너를 위한 것이다.
64,loob,inside; inner,Sa loob ng bahay.,집 안에.
65,lahat,all; everything,Lahat sila ay masaya.,모두가 행복하다.
66,Siya,he; she (capitalized),Siya ang pinuno.,그는 지도자이다.
67,lungsod,city,Ang lungsod ng Maynila.,마닐라 도시.
68,kasama,with; companion,Kasama ko ang kaibigan ko.,나는 친구와 함께 있다.
69,walang,none; no; without,Walang tubig sa baso.,컵에 물이 없다.
70,buong,whole; entire,Buong pamilya ay nandito.,가족 전체가 여기 있다.
71,siyang,the one who; it is,Siyang nagwagi.,그가 승자이다.
72,pangunahing,main; primary,Ang pangunahing dahilan.,주요 이유.
73,naman,also; again; on the other hand,Ako naman ay sasama.,나도 역시 같이 갈 것이다.
74,kaniyang,his; her (formal),Kaniyang aklat ay bago.,그녀의 책은 새 것이다.
75,bagong,new,Bagong damit para sa iyo.,너를 위한 새 옷.
76,ginagamit,is being used,Ginagamit niya ang telepono.,그는 전화를 사용하고 있다.
77,tulad,like; as,Tulad ng inaasahan.,예상대로.
78,lugar,place,Magandang lugar para magpahinga.,쉴 수 있는 좋은 곳.
79,araw,day; sun,Mainit ang araw ngayon.,오늘 날씨가 덥다.
80,planetang,planet,Ang planetang Earth.,지구 행성.
81,pangunahin,main; primary,Siya ang pangunahin sa grupo.,그는 그룹에서 주요 인물이다.
82,habang,while,"Habang naglalakad, kumanta siya.",걷는 동안 그는 노래했다.
83,pangalan,name,Ano ang pangalan mo?,너의 이름은 무엇니?
84,pagkatapos,after,"Pagkatapos ng klase, umuwi kami.","수업 후, 우리는 집에 갔다."
85,dito,here,Dito tayo maghintay.,우리 여기서 기다려.
86,anak,child; son; daughter,Ang anak ay masaya.,아이는 행복하다.
87,kilala,known; acquainted with,Kilala ko siya.,나는 그를 알고 있다.
88,maging,to become; to be,Maging masipag ka.,부지런해져라.
89,tatlong,three,Tatlong mansanas.,세 개의 사과.
90,mundo,world,Magandang mundo.,아름다운 세상.
91,bawat,each; every,Bawat isa ay mahalaga.,각각은 소중하다.
92,buhay,life,Ang buhay ay maganda.,삶은 아름답다.
93,nila,they; their,Nasa kanila ang bola.,공은 그들에게 있다.
94,tinatawag,called; is called,Tinatawag siyang bayani.,그는 영웅이라 불린다.
95,ilalim,under; below,Sa ilalim ng mesa.,책상 아래에.
96,higit,more; greater,Higit na mabuti.,더 나은.
97,The,the,The bahay ay malaki.,그 집은 크다.
98,pelikula,movie; film,Panoorin natin ang pelikula.,우리 영화를 보자.
99,niyang,he; she (non-focus possessive),Ang librong niya.,그의 책.
100,uri,type; kind,Anong uri ng prutas ito?,이것은 어떤 종류의 과일인가?
101,uri,"type, kind",Anong uri ng pagkain ang paborito mo?,당신이 가장 좋아하는 음식 종류는 무엇인가요?
102,iba't,"various, different",Iba't ibang uri ng bulaklak ang nakatanim sa hardin.,정원에는 다양한 종류의 꽃이 심어져 있습니다.
103,bago,"new, before",Bumili ako ng bagong damit kahapon.,나는 어제 새 옷을 샀습니다.
104,babae,"woman, female",Ang babae ay nagluluto ng hapunan.,그 여자는 저녁을 준비하고 있습니다.
105,bayan,"town, country, nation",Mahal ko ang aking bayan.,나는 나의 조국을 사랑합니다.
106,the,(English article),The libro ay nasa mesa.,책은 테이블 위에 있습니다.
107,karaniwang,"usual, common",Karaniwang umiinom siya ng kape tuwing umaga.,그는 보통 아침에 커피를 마십니다.
108,album,album,Ang kanyang bagong album ay maganda.,그녀의 새 앨범은 아름답습니다.
109,May,May (month),Ang kaarawan ko ay sa Mayo.,내 생일은 5월에 있습니다.
110,pagitan,"between, among",Ang pagitan ng bahay at paaralan ay malapit.,집과 학교 사이는 가깝습니다.
111,Dahil,"because of, due to",Umuwi siya dahil sa ulan.,그는 비 때문에 집에 갔습니다.
112,mayroong,"there is, have",Mayroong kumain ng aking pagkain.,내 음식을 먹은 사람이 있습니다.
113,Ayon,according to,"Ayon kay Ana, maganda ang panahon.",애나에 따르면 날씨가 좋다고 합니다.
114,kapag,"when, if","Kapag umulan, hindi kami lalabas.",비가 오면 우리는 나가지 않을 것입니다.
115,Isang,"a, one","Isang araw, pupunta kami sa dagat.",언젠가 우리는 바다에 갈 것입니다.
116,Hindi,"no, not",Hindi ako aalis ngayon.,나는 오늘 떠나지 않을 것입니다.
117,parehong,"same, identical",Parehong maganda ang kanilang mga damit.,그들의 옷은 모두 아름답습니다.
118,populasyon,population,Ang populasyon ng lungsod ay lumalaki.,도시의 인구는 증가하고 있습니다.
119,dating,"former, past",Dating guro ang aking ina.,우리 어머니는 전직 교사입니다.
120,malaking,"big, large",Malaking bahay ang kanilang tinitirhan.,그들이 사는 집은 큽니다.
121,iyon,"that, it",Iyon ang gusto kong libro.,이것이 내가 원하는 책입니다.
122,and,(English conjunction),Siya ay matalino at magalang.,그는 똑똑하고 예의 바릅니다.
123,Ingles,English (language),Marunong siyang mag-Ingles.,그는 영어를 할 수 있습니다.
124,bagay,"thing, item",Ang bagay na ito ay mahalaga sa akin.,이 물건은 나에게 중요합니다.
125,de,(Spanish preposition),De la Cruz ang kanyang apelyido.,그녀의 성은 데 라 크루즈입니다.
126,kabilang,"including, among",Kabilang siya sa pinakamahusay na estudyante.,그녀는 최고의 학생 중 한 명입니다.
127,siglo,century,Ang siglo ngayon ay ika-21 siglo.,현재는 21세기입니다.
128,kanya,"his, her",Ito ang kanyang bag.,이것은 그녀의 가방입니다.
129,oras,"time, hour",Anong oras na?,지금 몇 시입니까?
130,katawan,body,Ang katawan ay kailangang alagaan.,몸은 돌봐야 합니다.
131,karamihan,"majority, most",Karamihan sa kanila ay masaya.,그들 대부분은 행복합니다.
132,laro,"game, play",Ang paborito kong laro ay basketball.,내가 가장 좋아하는 게임은 농구입니다.
133,sina,(name marker),Sina Ana at Maria ay dumating.,애나와 마리아가 도착했습니다.
134,pagiging,"being, becoming",Ang pagiging mabuti ay mahalaga.,좋은 사람이 되는 것은 중요합니다.
135,katulad,"like, similar","Katulad ng inaasahan, nanalo siya.",예상대로 그는 이겼습니다.
136,muling,"again, once more",Muling nagkita sina Carlo at Ana.,카를로와 애나는 다시 만났습니다.
137,huling,"last, final",Huling araw ng pasukan ay masaya.,학교 마지막 날은 즐거웠습니다.
138,ayon,"according to, depending on","Ayon sa balita, uulan bukas.",뉴스에 따르면 내일 비가 온다고 합니다.
139,San,Saint,San Lorenzo ay isang bayan sa Laguna.,산 로렌소는 라구나에 있는 마을입니다.
140,salitang,"word, term",Ang salitang ito ay mahirap unawain.,이 단어는 이해하기 어렵습니다.
141,Estados,States,Estados Unidos ay isang malaking bansa.,미국은 큰 나라입니다.
142,kapatid,"sibling, brother/sister",Ang kapatid ko ay nag-aaral sa unibersidad.,나의 형제자매는 대학교에서 공부하고 있습니다.
143,Unidos,United,Estados Unidos ay isang makapangyarihang bansa.,미국은 강력한 나라입니다.
144,Estados Unidos,United States,Gusto kong pumunta sa Estados Unidos.,나는 미국에 가고 싶습니다.
145,tungkol,"about, regarding",Ito ay tungkol sa aking pamilya.,이것은 나의 가족에 관한 것입니다.
146,Bilang,"as, in the capacity of","Bilang isang guro, kailangan kong magturo.",교사로서 가르쳐야 합니다.
147,paggamit,"usage, use",Ang paggamit ng droga ay mapanganib.,약물 사용은 위험합니다.
148,apat,four,Apat na estudyante ang pumasa.,네 명의 학생이 합격했습니다.
149,serye,series,Ang seryeng ito ay kawili-wili.,이 시리즈는 흥미롭습니다.
150,paraan,"way, method",Anong paraan ang ginamit mo?,당신은 어떤 방법을 사용했습니까?
